,English,Russian
Short Description,"Dive into exhilarating combat in this roguelite, top-down shooter where survival is key! Face relentless hordes of monstrous foes, and conquer epic boss battles. Play solo or team up in co-op to race against time and see if you have what it takes to survive this mayhem of blood butts and guts!","Окунитесь в захватывающие бои в упрощённом рогалике и шутере с видом сверху, где ключевая роль — выживание! Сражайтесь с безжалостными ордами чудовищ и побеждайте эпических боссов. Играйте одни или совместно с кем-то, чтобы убедиться — по плечу ли вам выжить в этом хаосе кровавых задниц и кишок!"
Description Section #1,"Take on the new world
Embark on an adventure in a new world, battling the unfriendly monster residents that call it home. Remember, time is of the essence; dawdle too long and the locals will double their efforts to end your journey prematurely!
","Познакомьтесь с новым миром
Отправляйтесь в приключение по новому миру, сражаясь с недружелюбными обитателями-монстрами, которые называют его своим домом. Помните, что время имеет решающее значение; если вы будете медлить слишком долго, местные удвоят свои усилия, чтобы преждевременно положить конец вашему путешествию."
Description Section #2,"If you battle with courage and gear up wisely, you just might stake your claim as the top dog by vanquishing the big bosses lurking at each level.","Если вы будете сражаться с отвагой и с умом подготовитесь, то вполне можете показать, кто тут главный, победив больших боссов, скрывающихся на каждом уровне."
